,PipelineID,ApplicantID,JobID,StageID
329,382,883,39,10
330,383,862,13,4
331,384,858,14,10
332,386,892,39,10
333,387,809,39,10
334,388,809,41,10
335,390,898,39,10
336,391,898,35,10
337,392,910,41,10
338,393,913,28,10
339,394,913,39,10
340,395,917,35,10
341,396,850,37,10
342,399,945,31,10
343,400,944,30,10
344,401,944,27,10
345,402,944,31,10
346,403,950,44,10
347,404,950,39,10
348,405,950,38,10
349,406,950,31,10
350,407,950,5,10
351,408,967,35,10
352,409,967,27,10
353,410,969,39,10
354,411,984,28,10
355,412,944,44,10
356,413,944,39,10
357,414,944,28,10
358,415,799,45,10
359,416,799,39,10
360,417,1010,41,10
361,418,1007,28,10
362,419,1017,35,10
363,420,1040,35,10
364,421,944,47,10
365,422,946,31,10
366,424,675,31,10
367,425,1052,45,10
368,427,1053,35,10
369,428,1056,28,10
370,429,1056,35,10
371,430,1057,39,10
372,431,1057,45,10
373,432,1074,35,10
374,433,1079,43,10
375,434,1085,50,6
376,435,1085,31,10
377,437,1085,17,10
378,438,1085,14,10
379,439,1085,6,10
380,441,1087,35,10
381,442,1089,50,10
382,443,1089,49,9
383,444,1057,51,10
384,445,949,28,10
385,446,1082,44,10
386,447,708,35,10
387,448,1092,28,10
388,449,1105,35,10
389,451,1097,50,10
390,452,1094,39,10
391,454,1123,53,10
392,455,1120,51,10
393,456,1124,51,10
394,457,1124,50,10
395,458,1124,47,10
396,459,1124,44,10
397,460,1124,17,10
398,461,1117,43,10
399,462,1125,50,10
400,463,1119,51,10
401,464,1133,44,10
402,465,1065,54,10
403,466,1103,55,10
404,467,1138,55,3
405,468,1159,38,10
406,469,1159,28,10
407,470,1178,54,10
408,471,1073,41,10
409,472,1210,40,10
410,473,1210,39,10
411,474,1208,40,6
412,475,1211,15,10
413,476,1226,40,6
414,477,1238,45,10
